Griffin_BPDCN_HSC,Griffin_BPDCN_Prog,Griffin_BPDCN_EarlyE,Griffin_BPDCN_LateE,Griffin_BPDCN_ProMono,Griffin_BPDCN_Mono,Griffin_BPDCN_ncMono,Griffin_BPDCN_cDC,Griffin_BPDCN_pDC,Griffin_BPDCN_ProB,Griffin_BPDCN_PreB,Griffin_BPDCN_B,Griffin_BPDCN_Plasma,Griffin_BPDCN_T,Griffin_BPDCN_CTL,Griffin_BPDCN_NK
RPL17,CANX,TYMS,RHAG,MCL1,LGALS2,WARS1,ANXA5,HSP90B1,UHRF1,PCDH9,REL,TNFRSF17,SATB1,SYNE1,ABHD17A
DST,MSI2,RAN,MYL4,F13A1,CSF3R,FTH1,CD86,SOX4,CMTM7,H1-10,PALM2AKAP2,SELENOS,EVL,B2M,EFHD2
MTURN,KIT,HSP90AA1,H4C3,CHML,CTSD,ASAH1,LCP1,RUNX2,HMGB1,BACH2,P2RX5,SPCS1,PDE3B,CXCR4,HCST
CAVIN1,STMN1,MYL4,PTMS,CANX,CLEC7A,S100A4,MAP3K8,P2RY14,FHIT,TCF4,JUN,ANKRD28,TRABD2A,ZFP36L2,MATK
RPL31,NCOA4,TFRC,CENPF,EMILIN2,NCF2,LRRC25,C1orf162,CXXC5,PRDX1,EBF1,HLA-DQA2,SPCS2,CAMK4,BTG1,CMC1
ERG,GLUL,PCNA,H1-0,VCAN,FPR1,LILRA5,FLT3,RGS1,ACTG1,NEIL1,TTN,MYDGF,ATM,TNFAIP3,MYBL1
MAFF,MSRB3,GADD45GIP1,FAM210B,IRS2,MS4A6A,NPC2,PAK1,CTSB,ERGIC1,C16orf74,BLK,JSRP1,LCK,PRKCH,XCL2
PBX1,HSP90B1,HSPE1,SLC2A1,IRF8,FGL2,APOBEC3A,LGALS1,C12orf75,HMGN2,H1-5,PRDM2,SELENOM,CD6,ARL4C,ADGRG1
ALDH1A1,RPL31,UROD,GLRX5,RFLNB,MPEG1,IFI30,AHNAK,FLNB,NRIP1,CD9,MARCHF1,TMEM107,MGAT4A,CD8B,ID2
CYTL1,PROM1,NASP,HMGB2,LMNB1,BRI3,HES4,ACTR2,UBE2J1,LCN6,ACSM3,AFF3,LMNA,RPL30,SPOCK2,SYTL3
MDK,ETV6,CA1,BSG,S100A9,CSTA,STXBP2,GPR183,RNASE6,RAG1,ASXL1,CIITA,ERLEC1,GIMAP7,PARP8,JAK1
EBPL,FABP5,CCT2,FECH,LCP1,TSPO,RNF144B,SGK1,ZDHHC17,ERG,TUBA1B,CD52,TRIB1,RPS29,ARAP2,SAMD3
CD109,HNRNPA1,H4C3,CDKN3,MYADM,APOBEC3A,RRAS,IGSF6,CLEC4C,HPS4,SPTBN1,ITPR1,PLPP5,RORA,CALM1,IFIT2
H1-0,RUNX1,PA2G4,ANK1,TKT,S100A10,CEBPB,DPYSL2,PIK3AP1,MSI2,HMGB1,BTG1,FCRL5,NELL2,SLC38A1,PLAC8
EREG,IGLL1,GLRX5,ABCB10,SERPINB10,GRN,CXCL16,GSTP1,CD2AP,MT1X,H2AZ1,SEL1L3,KLF6,MAL,CCL4,B2M
MACF1,IMPDH2,CDK4,TUBA1B,ANXA5,FCER1G,ZFAND5,ANXA1,RASD1,MYL6B,FAM111B,IRF8,SDC1,DGKA,LYAR,PLAAT4
FLT3,TM7SF3,TIMM13,OSBP2,TSPO,MNDA,CLEC12A,SH3BP4,MZB1,JUP,VDAC1,ARHGAP24,SSR3,BCL2,PTPRC,HLA-C
